numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,5.0,Marketing & Advertising,media relations,7.0,Bachelor,razorfish,texas christian university,1
439,5.0,Entertainment Providers,producer,4.75,Bachelor,adolescent,parsons school of design the new school,1
500,5.0,Financial Services,directors,27.0,Bachelor,kinsale capital advisors,michigan state university,1
500,5.0,Marketing & Advertising,online,6.75,Bachelor,inspiren,pitzer college,1
500,5.0,Musicians,digital media,21.25,Bachelor,wpp media,state university of new york maritime college,1
500,5.0,Book and Periodical Publishing,writer,24.17,Bachelor,penguin random house,wingate college,1
500,4.0,Design Services,artist,9.58,Bachelor,parsons school of design the new school,nanyang technological university,1
500,2.0,Photography,photographer,14.24,Bachelor,redux pictures,hunter college,1
500,5.0,Events Services,account sales,16.41,Bachelor,navan,university of wisconsin madison,1
500,5.0,Public Relations & Communications,public affairs,12.41,Bachelor,arena,american university,1
494,2.0,Higher Education,journalist,10.25,Bachelor,new york film academy,ramapo college of new jersey,1
500,5.0,Computer Software,editor,17.0,Bachelor,fresco,the culinary institute of america,1
500,5.0,Construction,project engineer,11.16,Bachelor,suffolk construction,new jersey institute of technology,1
500,5.0,Financial Services,investment,29.0,Bachelor,credit suisse,nyu stern school of business,1
500,6.0,Financial Services,investment,7.83,Bachelor,acre,tulane university a b freeman school of business,1
394,1.0,Writing & Editing,content,37.51,Bachelor,mighty scribes,gettysburg college,1
500,1.0,Higher Education,teaching,14.4,Bachelor,yale chemistry department,yale university,1
500,2.0,Hospital & Health Care,clinical,3.84,Bachelor,bayada home health care,seton hall university,1
500,2.0,Higher Education,directors,3.42,Bachelor,stuorg smith college investment club,smith college,1
500,6.0,Computer Software,artist,3.25,Bachelor,the dinner table,george mason university,1
500,5.0,Information Technology & Services,marketing representative,3.58,Bachelor,ibm,the university of texas at san antonio,1
500,1.0,Marketing & Advertising,marketing representative,6.33,Bachelor,playfly sports,university of connecticut,1
437,3.0,Motion Pictures & Film,model,10.65,Bachelor,freelance,montclair state university,1
500,2.0,Design,production artist,16.24,Bachelor,aruliden,pratt institute,1
500,3.0,Financial Services,broker,22.0,Bachelor,better business bureau,nyu stern school of business,1
500,3.0,Entertainment,video editor,13.83,Bachelor,hat trick productions,hofstra university,1
500,5.0,Financial Services,strategist,4.0,Bachelor,bloomberg,northeastern university,1
500,2.0,Financial Services,investor relations,4.58,Bachelor,goldman sachs,texas mccombs school of business,1
500,5.0,Non-profit Organizations,writer,4.42,Bachelor,bob woodruff foundation,drexel university,1
500,4.0,Accounting,tax preparer,15.1,Bachelor,arab american family support center,georgia state university j mack robinson college of business,1
500,2.0,Insurance,equity,3.17,Bachelor,macquarie group,university of south carolina,1
500,4.0,Hospitals and Health Care,physician,7.82,Bachelor,weill cornell medicine,tufts university school of medicine,1
396,2.0,Financial Services,bank,2.34,High School,merrill lynch,bucknell university,1
445,3.0,Broadcast Media Production and Distribution,producer,21.58,Bachelor,cbs news,duke university,1
500,3.0,Insurance,account,9.91,Bachelor,alliant insurance services,pace university,1
500,1.0,Broadcast Media,journalist,8.75,Bachelor,fox corporation,nyu school of professional studies,1
500,3.0,Financial Services,economist,3.17,Bachelor,citrin cooperman,university of georgia terry college of business,1
451,7.0,Motion Pictures & Film,officer,0.42,Bachelor,this is global limited,mercy college,1
500,2.0,Software Development,software engineering,4.25,Bachelor,grubhub,vanderbilt university,1
500,5.0,Accounting,audit,15.73,Bachelor,deloitte,umn carlson school of management,1
417,3.0,Computer Software,software engineer,8.67,Bachelor,carrot fertility,general assembly,1
415,1.0,Museums & Institutions,teacher,1.0,Bachelor,topical cream,bates college,1
500,5.0,Financial Services,consulting,6.99,Bachelor,boston consulting group bcg,claremont mckenna college,1
500,2.0,Medical Practice,clinical research,1.0,Bachelor,columbia university irving medical center,cornell university,1
500,7.0,Non-profit Organization Management,directors,25.92,Bachelor,food bank for new york city,bard college,1
500,6.0,Investment Management,investment,33.09,Bachelor,five arrows,cornell johnson graduate school of management,1
500,3.0,Financial Services,ambassador,3.17,Bachelor,jpmorgan chase co,marist college,1
500,3.0,Financial Services,portfolio,5.75,empty,j p morgan,trinity college hartford,1
459,1.0,Performing Arts,stage,21.31,Bachelor,walnut street theatre,penn state university,1
500,3.0,Staffing & Recruiting,recruitment consultant,4.84,Bachelor,selby jennings,university of richmond robins school of business,1
484,3.0,Investment Banking,strategic planning,2.17,Bachelor,nbcuniversal media llc,new york university leonard n stern school of business,1
500,6.0,Financial Services,investment banking,15.5,Bachelor,tradeweb,bates college,1
500,5.0,Computer Software,campaign,4.08,Bachelor,adobe,binghamton university school of management,1
453,2.0,Hospital & Health Care,paramedic,3.0,Bachelor,us army,rutgers university,1
500,4.0,Wellness and Fitness Services,underwriting,8.33,Bachelor,tokio marine hcc specialty group,university at albany,1
500,7.0,Investment Management,wealth,23.0,Bachelor,frisch financial group inc,binghamton university school of management,1
500,4.0,Public Relations & Communications,directors,9.58,Bachelor,national business disability council nbdc at the viscardi center,university of north carolina wilmington,1
500,5.0,Advertising Services,creative,31.17,Bachelor,tag,university of hartford,1
500,4.0,Financial Services,investment consultant,12.34,Bachelor,salesforce,rutgers university,1
469,5.0,IT Services and IT Consulting,ambassador,8.0,Bachelor,meta,university of georgia terry college of business,1
500,2.0,Software Development,software engineering,7.26,Bachelor,southwest airlines,texas a m university,1
411,2.0,Retail Apparel and Fashion,design consultant,8.83,Bachelor,g iii apparel group,syracuse university,1
417,5.0,Writing and Editing,copywriter,14.99,Bachelor,rutgers university,university of kansas,1
500,5.0,Banking,investment,9.34,Bachelor,community capital technology cct,hobart and william smith colleges,1
500,1.0,Judiciary,security guard,3.67,Bachelor,village of oyster bay cove ny,yale university,1
500,2.0,Financial Services,equity analyst,3.17,Bachelor,cfa institute,questrom school of business boston university,1
500,4.0,Management Consulting,financial consultant,9.25,Bachelor,protiviti,st john s university,1
500,5.0,Marketing & Advertising,editor,6.25,Bachelor,rumpapi,the university of the west indies cave hill campus,1
500,4.0,Management Consulting,portfolio analyst,7.0,Bachelor,kpmg us,northeastern university,1
500,4.0,Financial Services,strategy analyst,4.33,Bachelor,akamai technologies,boston university questrom school of business,1
474,1.0,Public Relations and Communications Services,sales customer service,4.16,Bachelor,halsbrook inc,drexel university,1
421,1.0,Research,teaching,3.5,Bachelor,weill cornell medicine,university of chicago,1
500,1.0,Business Consulting and Services,user researcher,7.49,Bachelor,seattle cancer care alliance,brown university,1
500,4.0,Financial Services,law,6.51,Bachelor,thermo fisher scientific,university of north carolina at chapel hill,1
500,4.0,Public Relations & Communications,communication,7.75,Bachelor,planned parenthood federation of america,hofstra university,1
500,2.0,Investment Banking,investment banking analyst,10.06,Bachelor,evercore,binghamton university school of management,1
359,7.0,Investment Management,financial officer,26.1,Bachelor,dws group,new york university,1
500,5.0,Advertising Services,creative,12.83,Bachelor,work co,university of pittsburgh,1
500,2.0,Software Development,software engineering,5.59,Bachelor,jane street,princeton university,1
500,5.0,Banking,consulting,28.26,Bachelor,further advisory,america s community bankers national school of banking,1
500,4.0,Information Technology & Services,business development consultant,25.91,Bachelor,courier health,emory university,1
500,7.0,Computer Software,loan officer,41.66,Bachelor,maverick lending solutions llc,wake forest university,1
500,3.0,Wholesale,product analyst,6.34,Bachelor,bj s wholesale club,city tech cuny,1
500,3.0,Investment Banking,equity analyst,7.75,Bachelor,j p morgan,university of leeds,1
495,2.0,Real Estate,analyst,0.58,Bachelor,legends equity group,rutgers business school,1
500,2.0,Financial Services,equity analyst,9.74,Bachelor,td securities,babson college,1
500,3.0,Information Technology & Services,contributor,4.41,Bachelor,nielseniq,rutgers university new brunswick,1
500,4.0,Accounting,audit,8.16,Bachelor,loews hotels co,rutgers business school,1
500,4.0,Executive Offices,marketing operations,17.57,Bachelor,persona,ucla,1
485,2.0,Architecture and Planning,design consultant,5.0,Bachelor,ramsa robert a m stern architects,the cooper union for the advancement of science and art,1
500,2.0,Accounting,audit,9.0,Bachelor,stonepeak,high point university,1
500,5.0,Advertising Services,creative,13.57,Bachelor,biplane media,american university,1
500,5.0,Advertising Services,advertising,22.92,Bachelor,matte projects,university of california berkeley,1
500,4.0,Apparel & Fashion,creative,3.75,Bachelor,grace chen couture,parsons school of design the new school,1
500,2.0,Architecture & Planning,teaching,2.67,High School,armour unsderfer engineering inc p s,princeton university,1
500,7.0,Information Technology & Services,directors,5.92,Bachelor,green quotient solutions,the college of new jersey,1
500,4.0,Computer Software,social media,19.57,Bachelor,salesforce,new york university,1
340,5.0,Banking,accounting,7.09,Bachelor,sumitomo mitsui banking corporation smbc group,queens college,1
500,5.0,Online Audio and Video Media,creative,16.67,Bachelor,resolute digital,berklee college of music,1
500,3.0,Computer Software,marketing communications,14.0,Bachelor,a b creative studio,university of minnesota twin cities,1
500,3.0,Online Audio and Video Media,marketing consultant,20.75,Bachelor,pinterest,university of melbourne,1
500,3.0,Food Production,business analyst,2.5,Bachelor,mckinsey company,the wharton school,1
500,4.0,Hospital & Health Care,strategic account,33.17,Bachelor,informatica,university of bridgeport,1
500,4.0,Advertising Services,public relations,11.67,Bachelor,nyu langone health,new york university,1
500,3.0,Sports,teaching,7.33,Bachelor,major league baseball mlb,columbia university in the city of new york,1
500,3.0,Logistics & Supply Chain,marketing representative,3.58,Bachelor,mrs baking distribution corp,david b falk college of sport human dynamics at syracuse university,1
500,5.0,IT Services and IT Consulting,tax preparer,12.17,Bachelor,fitch ratings,rutgers university,1
500,6.0,Hospitals and Health Care,physician,2.83,Bachelor,american anesthesia partners,jacobi medical center,1
500,5.0,Entertainment Providers,creative,19.41,Bachelor,amc networks,school of visual arts,1
500,5.0,Venture Capital & Private Equity,financial services,12.75,Bachelor,cliffside capital management,monmouth university,1
500,7.0,Media Production,model,20.0,Bachelor,stylelikeu,connecticut college,1
441,2.0,Internet,sales marketing coordinator,9.18,Bachelor,career break,cornell university,1
454,3.0,Financial Services,credit analyst,21.83,Bachelor,freelance,orta doğu teknik üniversitesi middle east technical university,1
500,3.0,Chemical Manufacturing,project engineering,12.58,Bachelor,air water inc,new jersey institute of technology,1
500,7.0,Non-profit Organizations,communications,17.49,Bachelor,iconiq capital,new york university,1
500,1.0,Publishing,social media,24.25,Bachelor,roar forward,new york university,1
500,4.0,Hospital & Health Care,clinical,8.75,Bachelor,wyckoff heights medical center,ucl,1
500,2.0,Real Estate,financial,17.0,Bachelor,edward jones,eastern connecticut state university,1
500,4.0,Hospitals and Health Care,strategist,9.42,Bachelor,kantar,university of north carolina at chapel hill,1
500,7.0,Financial Services,financial officer,12.5,Bachelor,sabby capital,rensselaer polytechnic institute,1
476,3.0,Marketing & Advertising,copywriter,9.57,Bachelor,fcb health new york an ipg health company,penn state university,1
500,4.0,Marketing & Advertising,business development representative,16.41,Bachelor,linkedin,uc3m universidad carlos iii de madrid,1
397,4.0,Human Resources,artist,20.56,Bachelor,alliance abroad group,optimize,1
499,4.0,Research Services,mechanical design engineer,12.42,Bachelor,aurora flight sciences,princeton university,1
500,2.0,Financial Services,relationship,23.09,Bachelor,axis capital,fairleigh dickinson university,1
500,2.0,Apparel & Fashion,shopper,15.5,Bachelor,gap,indiana university bloomington,1
500,5.0,Financial Services,wealth,14.74,Bachelor,fidelity investments,west virginia university,1
500,6.0,Hospital & Health Care,physician,12.93,Bachelor,lehigh valley health network,carnegie mellon university,1
500,2.0,Real Estate,realtor,3.24,Bachelor,the corcoran group,university of virginia,1
500,1.0,Design,graphic design,10.67,Bachelor,nyc department of health and mental hygiene,general assembly,1
500,4.0,Advertising Services,public relations,8.16,Bachelor,grow therapy,penn state university,1
500,6.0,IT Services and IT Consulting,capital markets,26.67,Bachelor,bmo capital markets,the college of new jersey,1
409,5.0,IT Services and IT Consulting,strategic,12.25,Bachelor,proteli llc,university of maryland college park,1
500,4.0,Financial Services,consulting,2.09,High School,mainshares,university of pennsylvania,1
500,5.0,Financial Services,resident,6.34,Bachelor,ares management corporation,zicklin school of business,1
500,3.0,Software Development,software engineer,8.33,Bachelor,gemini,university of waikato,1
500,5.0,Events Services,events,35.0,Bachelor,institutional investor,franklin marshall college,1
500,1.0,Higher Education,nanny,8.84,Bachelor,jag physical therapy,quinnipiac university,1
413,5.0,IT Services and IT Consulting,systems analyst,41.92,Bachelor,northwell health,brooklyn college,1
500,5.0,Government Administration,coordinator,15.67,Bachelor,nyc department of parks recreation,hunter college,1
500,3.0,Marketing & Advertising,social media marketing,17.75,Bachelor,freelance,university of southern california,1
500,4.0,Venture Capital & Private Equity,investment,7.58,Bachelor,new enterprise associates nea,american university of kuwait auk,1
470,5.0,Political Organization,journalist,5.75,Bachelor,yale undergraduate prison project,yale university,1
500,6.0,International Affairs,writer,8.42,Bachelor,one for justice,brown university,1
500,2.0,Events Services,host,7.57,Bachelor,don t tell comedy,syracuse university maxwell school,1
500,4.0,Computer Software,strategist,10.57,Bachelor,horizon media,fullstack academy,1
370,1.0,Financial Services,research,3.33,Bachelor,five rings,columbia university in the city of new york,1
500,1.0,Advertising Services,creative,46.75,Bachelor,arc worldwide,the creative circus,1
472,1.0,Motion Pictures & Film,video editor,14.67,Bachelor,hbo,hofstra university,1
500,6.0,Marketing & Advertising,digital marketing,10.67,Bachelor,kinesso,northeastern university,1
500,1.0,Apparel & Fashion,social media marketing,8.59,Bachelor,hwp insurance,florida international university,1
500,4.0,"Technology, Information and Internet",social media,6.5,Bachelor,optimizely,san francisco state university,1
500,2.0,Luxury Goods & Jewelry,marketing representative,4.75,Bachelor,chloé,parsons school of design the new school,1
500,5.0,Marketing & Advertising,creative,26.66,Bachelor,dream job studios,the art institutes,1
500,5.0,Advertising Services,sales marketing,9.66,Bachelor,fitch solutions,rochester institute of technology,1
500,4.0,Consumer Services,consumer marketing,8.08,Bachelor,uber,the george washington university school of business,1
500,5.0,Computer Software,media relations,10.84,Bachelor,linkedin,middlebury college,1
500,5.0,Computer Software,business analyst,4.58,Bachelor,m t bank,university at buffalo,1
500,6.0,Information Technology & Services,human resources consultant,12.84,Bachelor,mercer,cornell university,1
500,4.0,Government Relations Services,communication,8.67,Bachelor,waikato regional council,university of colorado boulder,1
500,5.0,Food Production,network administrator,23.75,Bachelor,community foodbank of new jersey,virginia union university,1
500,1.0,Publishing,journalist,5.5,Bachelor,foreign affairs magazine,barnard college,1
500,2.0,Financial Services,compliance analyst,2.17,Bachelor,millennium,university of michigan,1
500,5.0,Information Services,strategic,5.0,Bachelor,bmc group inc,university of washington,1
500,4.0,Retail,hris,10.0,Bachelor,nissan motor corporation,rajiv gandhi prodyogiki vishwavidyalaya,1
500,5.0,Investment Banking,equity,8.67,Bachelor,mgg investment group lp,university of virginia,1
473,2.0,Financial Services,research analyst,4.08,Bachelor,bank of america merrill lynch,harvard university,1
500,6.0,Advertising Services,marketing consultant,25.59,Bachelor,doceree,university at albany suny,1
500,6.0,Advertising Services,consumer marketing,22.5,Bachelor,kinesso,miami university,1
500,4.0,Investment Management,equity,7.59,Bachelor,alpine investors,university school of milwaukee,1
350,1.0,Non-profit Organization Management,food service worker,5.99,Bachelor,pelham country club,cornell university,1
500,5.0,Marketing & Advertising,digital,24.75,Bachelor,merkle,university of louisville,1
489,5.0,Financial Services,ambassador,8.0,Bachelor,new york institute of finance,berkeley college new york,1
424,5.0,Retail,merchandising,16.25,Bachelor,story nyc,quinnipiac university,1
500,3.0,Law Enforcement,supply chain coordinator,5.41,Bachelor,new york city police department,karunya institute of technology and sciences,1
500,4.0,Financial Services,equity,9.5,Bachelor,goldman sachs,the institute of chartered accountants of india,1
500,6.0,IT Services and IT Consulting,services consultant,41.83,Bachelor,michael p terracino llc,st john s university,1
500,6.0,Executive Offices,strategic,45.0,Bachelor,media horizons,kent state university,1
500,3.0,Financial Services,equity analyst,5.92,Bachelor,ares management corporation,wake forest university,1
500,5.0,Financial Services,investment analyst,5.67,Bachelor,chobani,washington university in st louis,1
500,1.0,Writing & Editing,teaching,4.68,Bachelor,brown university,brown university,1
500,4.0,Media Production,video editor,7.23,Bachelor,last week tonight with john oliver,molloy college,1
500,1.0,Legal Services,teaching,1.92,Bachelor,new york university school of law,new york university school of law,1
494,6.0,Marketing & Advertising,advertising,2.25,Bachelor,carat,st thomas aquinas college,1
500,7.0,Investment Management,content creator,8.0,Bachelor,accelerate investors,texas mccombs school of business,1
490,3.0,Public Relations & Communications,tech support,5.58,Bachelor,hunter,marist college,1
500,2.0,Consumer Goods,marketing sales,8.25,Bachelor,belly armor,new york university,1
447,1.0,Music,public relations,13.5,Bachelor,congregation b nai israel millburn nj,cornell university,1
319,5.0,Book and Periodical Publishing,writer,32.0,Bachelor,purple pen college essay advisory,new york university,1
500,6.0,Retail,strategic sourcing,14.83,Bachelor,fortune 500 companies various,penn state university,1
396,1.0,Hospital & Health Care,cna,1.82,Bachelor,wyckoff heights medical center,st francis college,1
500,3.0,Non-profit Organization Management,physician,12.0,Bachelor,small door,cornell university college of veterinary medicine,1
500,5.0,Human Resources,public relations,9.17,Bachelor,zocdoc,university of miami,1
500,3.0,Investment Banking,equity research,6.16,High School,barclays,georgetown university,1
500,2.0,Financial Services,ambassador,8.5,MBA,us faster payments council,university of pittsburgh katz graduate school of business,1
